,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sabang,5.8933,95.3214,82.2,68,40,4.79,ID,1616104624
1,Mataura,-46.1927,168.8643,53.01,96,90,1.99,NZ,1616104625
2,Thompson,55.7435,-97.8558,50.0,34,40,10.36,CA,1616104546
3,Nyurba,63.2842,118.3319,11.07,93,97,10.04,RU,1616104626
4,Hermanus,-34.4187,19.2345,61.0,87,71,7.11,ZA,1616104626
5,La Rioja,-29.4111,-66.8507,65.53,73,80,4.99,AR,1616104627
6,Vaini,-21.2,-175.2,82.4,78,20,6.91,TO,1616104627
7,Punta Arenas,-53.15,-70.9167,53.6,71,75,13.8,CL,1616104628
8,Busselton,-33.65,115.3333,60.01,88,71,7.43,AU,1616104556
9,Rikitea,-23.1203,-134.9692,80.69,76,97,19.69,PF,1616104551
10,Qaanaaq,77.484,-69.3632,-13.76,77,0,3.13,GL,1616104629
11,New Norfolk,-42.7826,147.0587,55.99,75,0,1.99,AU,1616104574
12,Nikolskoye,59.7035,30.7861,24.01,79,0,4.47,RU,1616104630
13,Atuona,-9.8,-139.0333,80.73,74,0,11.32,PF,1616104632
14,Bluff,-46.6,168.3333,53.01,96,95,1.99,NZ,1616104562
15,Hilo,19.7297,-155.09,71.01,83,90,5.75,US,1616104633
16,Caculé,-14.5033,-42.2222,75.2,46,88,2.13,BR,1616104634
17,Airai,-8.9266,125.4092,59.59,86,100,1.23,TL,1616104634
18,Hithadhoo,-0.6,73.0833,82.24,74,99,8.63,MV,1616104635
19,Albany,42.6001,-73.9662,41.0,87,100,1.99,US,1616104512
20,Gizo Government Station,-8.103,156.8419,83.32,70,62,4.29,SB,1616104636
21,Vanavara,60.34,102.2797,15.64,93,100,9.01,RU,1616104637
22,Puerto Ayora,-0.7393,-90.3518,84.2,74,75,10.36,EC,1616104637
23,Rawson,-43.3002,-65.1023,71.85,31,61,11.14,AR,1616104638
24,Bulgan,48.8125,103.5347,15.22,86,91,2.53,MN,1616104638
25,Geraldton,-28.7667,114.6,64.4,63,5,9.22,AU,1616104639
26,Lebu,-37.6167,-73.65,59.43,75,18,6.08,CL,1616104639
27,Vardø,70.3705,31.1107,23.0,74,75,11.5,NO,1616104561
28,Srednyaya Akhtuba,48.7089,44.8667,33.8,100,90,4.47,RU,1616104640
29,São João da Barra,-21.6403,-41.0511,80.6,69,0,20.71,BR,1616104641
30,Okhotsk,59.3833,143.3,3.99,66,0,21.54,RU,1616104642
31,Debre Tabor,11.85,38.0167,60.3,35,51,4.54,ET,1616104642
32,Castro,-24.7911,-50.0119,67.01,75,2,6.8,BR,1616104643
33,Muroto-misakicho,33.2833,134.15,48.2,81,20,6.91,JP,1616104644
34,Ballina,-28.8667,153.5667,69.8,94,90,9.22,AU,1616104644
35,Cape Town,-33.9258,18.4232,64.99,68,20,5.75,ZA,1616104645
36,Half Moon Bay,37.4636,-122.4286,55.99,87,75,14.97,US,1616104392
37,Barrow,71.2906,-156.7887,1.4,71,75,12.66,US,1616104646
38,Tezu,27.9167,96.1667,71.85,29,67,3.78,IN,1616104647
39,Yellowknife,62.456,-114.3525,30.0,68,75,6.91,CA,1616104647
40,Moose Factory,51.2585,-80.6094,19.4,49,1,11.5,CA,1616104563
41,Lufilufi,-13.8745,-171.5986,77.0,100,90,6.91,WS,1616104649
42,Constitución,-35.3333,-72.4167,59.13,68,54,4.74,CL,1616104649
43,Kapaa,22.0752,-159.319,70.0,94,90,25.32,US,1616104553
44,Margate,51.3813,1.3862,45.0,91,100,4.0,GB,1616104651
